"id_with_url","name","species","feature_type","description"
"ENSMUSG00000094994","Gm22046","Mouse","Gene","predicted gene, 22046 [Source:MGI Symbol;Acc:MGI:5451823]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094994"
"ENSMUSG00000095045","Gm22851","Mouse","Gene","predicted gene, 22851 [Source:MGI Symbol;Acc:MGI:5452628]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095045"
"ENSMUSG00000095100","Gm22128","Mouse","Gene","predicted gene, 22128 [Source:MGI Symbol;Acc:MGI:5451905]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095100"
"ENSMUSG00000095155","Gm26032","Mouse","Gene","predicted gene, 26032 [Source:MGI Symbol;Acc:MGI:5455809]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095155"
"ENSMUSG00000095374","Gm22110","Mouse","Gene","predicted gene, 22110 [Source:MGI Symbol;Acc:MGI:5451887]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095374"
"ENSMUSG00000095389","Gm23953","Mouse","Gene","predicted gene, 23953 [Source:MGI Symbol;Acc:MGI:5453730]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095389"
"ENSMUSG00000095458","Gm26223","Mouse","Gene","predicted gene, 26223 [Source:MGI Symbol;Acc:MGI:5456000]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095458"
"ENSMUSG00000095479","Gm25074","Mouse","Gene","predicted gene, 25074 [Source:MGI Symbol;Acc:MGI:5454851]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095479"
"ENSMUSG00000095542","Gm24618","Mouse","Gene","predicted gene, 24618 [Source:MGI Symbol;Acc:MGI:5454395]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095542"
"ENSMUSG00000095618","Gm26246","Mouse","Gene","predicted gene, 26246 [Source:MGI Symbol;Acc:MGI:5456023]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095618"
"ENSMUSG00000095639","Gm22941","Mouse","Gene","predicted gene, 22941 [Source:MGI Symbol;Acc:MGI:5452718]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095639"
"ENSMUSG00000095641","Gm25615","Mouse","Gene","predicted gene, 25615 [Source:MGI Symbol;Acc:MGI:5455392]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095641"
"ENSMUSG00000095691","Gm26094","Mouse","Gene","predicted gene, 26094 [Source:MGI Symbol;Acc:MGI:5455871]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095691"
"ENSMUSG00000096017","Gm26502","Mouse","Gene","predicted gene, 26502 [Source:MGI Symbol;Acc:MGI:5456279]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096017"
"ENSMUSG00000096019","Gm26504","Mouse","Gene","predicted gene, 26504 [Source:MGI Symbol;Acc:MGI:5456281]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096019"
"ENSMUSG00000096057","Gm25944","Mouse","Gene","predicted gene, 25944 [Source:MGI Symbol;Acc:MGI:5455721]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096057"
"ENSMUSG00000096070","Gm25350","Mouse","Gene","predicted gene, 25350 [Source:MGI Symbol;Acc:MGI:5455127]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096070"
"ENSMUSG00000096095","Gm26332","Mouse","Gene","predicted gene, 26332 [Source:MGI Symbol;Acc:MGI:5456109]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096095"
"ENSMUSG00000096110","Gm26270","Mouse","Gene","predicted gene, 26270 [Source:MGI Symbol;Acc:MGI:5456047]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096110"
"ENSMUSG00000096148","Gm25816","Mouse","Gene","predicted gene, 25816 [Source:MGI Symbol;Acc:MGI:5455593]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096148"
"ENSMUSG00000096159","Gm24153","Mouse","Gene","predicted gene, 24153 [Source:MGI Symbol;Acc:MGI:5453930]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096159"
"ENSMUSG00000096190","Gm26136","Mouse","Gene","predicted gene, 26136 [Source:MGI Symbol;Acc:MGI:5455913]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096190"
"ENSMUSG00000096231","Gm22584","Mouse","Gene","predicted gene, 22584 [Source:MGI Symbol;Acc:MGI:5452361]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096231"
"ENSMUSG00000096248","Gm24264","Mouse","Gene","predicted gene, 24264 [Source:MGI Symbol;Acc:MGI:5454041]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096248"
"ENSMUSG00000096302","Gm25210","Mouse","Gene","predicted gene, 25210 [Source:MGI Symbol;Acc:MGI:5454987]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096302"
"ENSMUSG00000096305","Gm23047","Mouse","Gene","predicted gene, 23047 [Source:MGI Symbol;Acc:MGI:5452824]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096305"
"ENSMUSG00000096313","Gm23524","Mouse","Gene","predicted gene, 23524 [Source:MGI Symbol;Acc:MGI:5453301]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096313"
"ENSMUSG00000096431","Gm22131","Mouse","Gene","predicted gene, 22131 [Source:MGI Symbol;Acc:MGI:5451908]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096431"
"ENSMUSG00000096462","Gm22812","Mouse","Gene","predicted gene, 22812 [Source:MGI Symbol;Acc:MGI:5452589]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096462"
"ENSMUSG00000096604","Gm26201","Mouse","Gene","predicted gene, 26201 [Source:MGI Symbol;Acc:MGI:5455978]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096604"
"ENSMUSG00000096634","Gm22173","Mouse","Gene","predicted gene, 22173 [Source:MGI Symbol;Acc:MGI:5451950]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096634"
"ENSMUSG00000096660","Gm22863","Mouse","Gene","predicted gene, 22863 [Source:MGI Symbol;Acc:MGI:5452640]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096660"
"ENSMUSG00000096677","Gm24518","Mouse","Gene","predicted gene, 24518 [Source:MGI Symbol;Acc:MGI:5454295]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096677"
"ENSMUSG00000096845","Gm25597","Mouse","Gene","predicted gene, 25597 [Source:MGI Symbol;Acc:MGI:5455374]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096845"
"ENSMUSG00000096865","Gm23313","Mouse","Gene","predicted gene, 23313 [Source:MGI Symbol;Acc:MGI:5453090]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096865"
"ENSMUSG00000096868","Gm22258","Mouse","Gene","predicted gene, 22258 [Source:MGI Symbol;Acc:MGI:5452035]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096868"
"ENSMUSG00000093971","Gm23359","Mouse","Gene","predicted gene, 23359 [Source:MGI Symbol;Acc:MGI:5453136]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093971"
"ENSMUSG00000093974","Gm23357","Mouse","Gene","predicted gene, 23357 [Source:MGI Symbol;Acc:MGI:5453134]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093974"
"ENSMUSG00000094039","Gm24658","Mouse","Gene","predicted gene, 24658 [Source:MGI Symbol;Acc:MGI:5454435]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094039"
"ENSMUSG00000094060","Gm25157","Mouse","Gene","predicted gene, 25157 [Source:MGI Symbol;Acc:MGI:5454934]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094060"
"ENSMUSG00000094069","Gm25155","Mouse","Gene","predicted gene, 25155 [Source:MGI Symbol;Acc:MGI:5454932]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094069"
"ENSMUSG00000094109","Gm22776","Mouse","Gene","predicted gene, 22776 [Source:MGI Symbol;Acc:MGI:5452553]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094109"
"ENSMUSG00000094150","Gm23265","Mouse","Gene","predicted gene, 23265 [Source:MGI Symbol;Acc:MGI:5453042]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094150"
"ENSMUSG00000094218","Gm23446","Mouse","Gene","predicted gene, 23446 [Source:MGI Symbol;Acc:MGI:5453223]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094218"
"ENSMUSG00000094236","Gm24609","Mouse","Gene","predicted gene, 24609 [Source:MGI Symbol;Acc:MGI:5454386]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094236"
"ENSMUSG00000094274","Gm22289","Mouse","Gene","predicted gene, 22289 [Source:MGI Symbol;Acc:MGI:5452066]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094274"
"ENSMUSG00000094287","Gm26433","Mouse","Gene","predicted gene, 26433 [Source:MGI Symbol;Acc:MGI:5456210]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094287"
"ENSMUSG00000094389","Gm22188","Mouse","Gene","predicted gene, 22188 [Source:MGI Symbol;Acc:MGI:5451965]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094389"
"ENSMUSG00000094573","Gm23549","Mouse","Gene","predicted gene, 23549 [Source:MGI Symbol;Acc:MGI:5453326]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094573"
"ENSMUSG00000094581","Gm26365","Mouse","Gene","predicted gene, 26365 [Source:MGI Symbol;Acc:MGI:5456142]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094581"
"ENSMUSG00000094599","Gm24742","Mouse","Gene","predicted gene, 24742 [Source:MGI Symbol;Acc:MGI:5454519]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094599"
"ENSMUSG00000094642","Gm23696","Mouse","Gene","predicted gene, 23696 [Source:MGI Symbol;Acc:MGI:5453473]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094642"
"64244","Snord116l1","Mouse","Gene",""
"64245","Snord116l2","Mouse","Gene",""
