gene_name,gene_id,mgi_symbol
ENSMUSG00000001767,313,Crnkl1
ENSMUSG00000001768,314,Rin2
ENSMUSG00000001773,315,Folh1
ENSMUSG00000001774,316,Chordc1
ENSMUSG00000001783,317,Rtcb
ENSMUSG00000001785,318,Pwp1
ENSMUSG00000001786,319,Fbxo7
ENSMUSG00000001794,320,Capns1
ENSMUSG00000001802,321,Lrp3
ENSMUSG00000001804,322,Dsg4
ENSMUSG00000001815,323,Evx2
ENSMUSG00000001819,324,Hoxd13
ENSMUSG00000001823,325,Hoxd12
ENSMUSG00000001827,326,Folr1
ENSMUSG00000001829,327,Clpb
ENSMUSG00000001833,328,Sept7
ENSMUSG00000001844,329,Zdhhc4
ENSMUSG00000001847,330,Rac1
ENSMUSG00000001855,331,Nup214
ENSMUSG00000001864,332,Aif1l
ENSMUSG00000001865,333,Cpa3
ENSMUSG00000001870,334,Ltbp1
ENSMUSG00000001891,335,Ugp2
ENSMUSG00000001901,336,Kcnh6
ENSMUSG00000001909,337,Trmt1
ENSMUSG00000001910,338,Nacc1
ENSMUSG00000001911,339,Nfix
ENSMUSG00000001918,340,Slc1a5
ENSMUSG00000001924,341,Uba1
ENSMUSG00000001930,342,Vwf
ENSMUSG00000001942,343,Siae
ENSMUSG00000001943,344,Vsig2
ENSMUSG00000001946,345,Esam
ENSMUSG00000001948,346,Spa17
ENSMUSG00000001962,347,Fam50a
ENSMUSG00000001964,348,Emd
ENSMUSG00000001983,349,Taco1
ENSMUSG00000001985,350,Grik3
ENSMUSG00000001986,351,Gria3
ENSMUSG00000001988,352,Npas1
ENSMUSG00000001995,353,Sipa1l2
ENSMUSG00000001998,354,Ap4e1
ENSMUSG00000001999,355,Blvra
ENSMUSG00000002006,356,Pdzd4
ENSMUSG00000002007,357,Srpk3
ENSMUSG00000002010,358,Idh3g
ENSMUSG00000002012,359,Pnck
ENSMUSG00000002014,360,Ssr4
ENSMUSG00000002015,361,Bcap31
ENSMUSG00000002017,362,Fam98a
ENSMUSG00000002020,363,Ltbp2
ENSMUSG00000002028,364,Kmt2a
ENSMUSG00000002031,365,Ift46
ENSMUSG00000002032,366,Tmem25
ENSMUSG00000002033,367,Cd3g
ENSMUSG00000002043,368,Trappc6a
ENSMUSG00000002052,369,Supt6
ENSMUSG00000002055,370,Spag5
ENSMUSG00000002057,371,Foxn1
ENSMUSG00000002058,372,Unc119
ENSMUSG00000002059,373,Rab34
ENSMUSG00000002064,374,Sdf2
ENSMUSG00000002068,375,Ccne1
ENSMUSG00000002076,376,Hsf2bp
ENSMUSG00000002083,377,Bbc3
ENSMUSG00000002100,378,Mybpc3
ENSMUSG00000002102,379,Psmc3
ENSMUSG00000002103,380,Acp2
ENSMUSG00000002104,381,Rapsn
ENSMUSG00000002105,382,Slc39a13
ENSMUSG00000002107,383,Celf2
ENSMUSG00000002108,384,Nr1h3
ENSMUSG00000002109,385,Ddb2
ENSMUSG00000002111,386,Spi1
ENSMUSG00000002129,387,Sf3a1
ENSMUSG00000002147,388,Stat6
ENSMUSG00000002190,389,Clgn
ENSMUSG00000002204,390,Napsa
ENSMUSG00000002205,391,Vrk3
ENSMUSG00000002210,392,Smg9
ENSMUSG00000002221,393,Paxip1
ENSMUSG00000002222,394,Rmnd5a
ENSMUSG00000002227,395,Mov10
ENSMUSG00000002228,396,Ppm1j
ENSMUSG00000002233,397,Rhoc
ENSMUSG00000002240,398,Prr27
ENSMUSG00000002249,399,Tead3
ENSMUSG00000002250,400,Ppard
ENSMUSG00000002257,401,Def6
ENSMUSG00000002265,402,Peg3
ENSMUSG00000002266,403,Zim1
ENSMUSG00000002274,404,Metrn
ENSMUSG00000002279,405,Lmf1
ENSMUSG00000002280,406,Narfl
ENSMUSG00000002289,407,Angptl4
ENSMUSG00000002297,408,Dbf4
ENSMUSG00000002307,409,Daxx
ENSMUSG00000002308,410,Cd320
ENSMUSG00000002319,411,Ipo4
ENSMUSG00000002320,412,Tm9sf1
ENSMUSG00000002324,413,Rec8
ENSMUSG00000002325,414,Irf9
ENSMUSG00000002326,415,Gmpr2
ENSMUSG00000002329,416,Mdp1
ENSMUSG00000002332,417,Dhrs1
ENSMUSG00000002341,418,Ncan
ENSMUSG00000002342,419,Tmem161a
ENSMUSG00000002343,420,Armc6
ENSMUSG00000002345,421,Borcs8
ENSMUSG00000002346,422,Slc25a42
ENSMUSG00000002365,423,Snx9
ENSMUSG00000002372,424,Ranbp3
ENSMUSG00000002379,425,Ndufa11
ENSMUSG00000002384,426,Bmp8b
ENSMUSG00000002393,427,Nr2f6
ENSMUSG00000002395,428,Use1
ENSMUSG00000002396,429,Ocel1
ENSMUSG00000002409,430,Dyrk1b
ENSMUSG00000002413,431,Braf
ENSMUSG00000002416,432,Ndufb2
ENSMUSG00000002428,433,Hltf
ENSMUSG00000002455,434,Prpf6
ENSMUSG00000002458,435,Rgs19
ENSMUSG00000002459,436,Rgs20
ENSMUSG00000002475,437,Abhd3
ENSMUSG00000002477,438,Snrpd1
ENSMUSG00000002486,439,Tchp
ENSMUSG00000002489,440,Tiam1
ENSMUSG00000002496,441,Tsc2
ENSMUSG00000002500,442,Rpl3l
ENSMUSG00000002504,443,Slc9a3r2
ENSMUSG00000002524,444,Puf60
ENSMUSG00000002546,445,Golga2
ENSMUSG00000002550,446,Uck1
ENSMUSG00000002565,447,Scin
ENSMUSG00000002578,448,Ikzf4
ENSMUSG00000002580,449,Mien1
ENSMUSG00000002588,450,Pon1
ENSMUSG00000002602,451,Axl
ENSMUSG00000002603,452,Tgfb1
ENSMUSG00000002608,453,Ccdc97
ENSMUSG00000002617,454,Zfp40
ENSMUSG00000002625,455,Akap8l
ENSMUSG00000002633,456,Shh
ENSMUSG00000002635,457,Pdcd2l
ENSMUSG00000002658,458,Gtf2f1
ENSMUSG00000002660,459,Clpp
ENSMUSG00000002661,460,Alkbh7
ENSMUSG00000002664,461,Pspn
ENSMUSG00000002668,462,Dennd1c
ENSMUSG00000002679,463,Med6
ENSMUSG00000002688,464,Prkd1
ENSMUSG00000002699,465,Lcp2
ENSMUSG00000002718,466,Cse1l
ENSMUSG00000002728,467,Naa20
ENSMUSG00000002731,468,Prkra
ENSMUSG00000002732,469,Fkbp7
ENSMUSG00000002733,470,Plekha3
ENSMUSG00000002741,471,Ykt6
ENSMUSG00000002748,472,Baz1b
ENSMUSG00000002763,473,Pex6
ENSMUSG00000002767,474,Mrpl2
ENSMUSG00000002768,475,Mea1
ENSMUSG00000002769,476,Gnmt
ENSMUSG00000002771,477,Grin2d
ENSMUSG00000002778,478,Kdelr1
ENSMUSG00000002781,479,Tmem143
ENSMUSG00000002791,480,Pdxk-ps
ENSMUSG00000002797,481,Ggct
ENSMUSG00000002799,482,Jag2
ENSMUSG00000002803,483,Btbd6
ENSMUSG00000002804,484,Nudt14
ENSMUSG00000002808,485,Epdr1
ENSMUSG00000002812,486,Flii
ENSMUSG00000002814,487,Top3a
ENSMUSG00000002820,488,Atg4d
ENSMUSG00000002825,489,Qtrt1
ENSMUSG00000002831,490,Plin4
ENSMUSG00000002833,491,Hdgfrp2
ENSMUSG00000002835,492,Chaf1a
ENSMUSG00000002844,493,Adprh
ENSMUSG00000002845,494,Tmem39a
ENSMUSG00000002846,495,Timmdc1
ENSMUSG00000002847,496,Pla1a
ENSMUSG00000002870,497,Mcm2
ENSMUSG00000002871,498,Tpra1
ENSMUSG00000002881,499,Nab1
ENSMUSG00000002885,500,Adgre5
ENSMUSG00000002897,501,Il17ra
ENSMUSG00000002900,502,Lamb1
ENSMUSG00000002908,503,Kcnn1
ENSMUSG00000002910,504,Arrdc2
ENSMUSG00000002930,505,Ppp1r17
ENSMUSG00000002944,506,Cd36
ENSMUSG00000002948,507,Map2k7
ENSMUSG00000002949,508,Timm44
ENSMUSG00000002957,509,Ap2a2
ENSMUSG00000002963,510,Pnkp
ENSMUSG00000002968,511,Med25
ENSMUSG00000002980,512,Bcam
ENSMUSG00000002981,513,Clptm1
ENSMUSG00000002983,514,Relb
ENSMUSG00000002984,515,Tomm40
ENSMUSG00000002985,516,Apoe
ENSMUSG00000002992,517,Apoc2
ENSMUSG00000002996,518,Hbp1
ENSMUSG00000002997,519,Prkar2b
ENSMUSG00000003031,520,Cdkn1b
ENSMUSG00000003032,521,Klf4
ENSMUSG00000003033,522,Ap1m1
ENSMUSG00000003037,523,Rab8a
ENSMUSG00000003038,524,Hmgn2
ENSMUSG00000003039,525,Fam32a
ENSMUSG00000003051,526,Elf3
ENSMUSG00000003053,527,Cyp2c29
ENSMUSG00000003062,528,Stard3nl
ENSMUSG00000003068,529,Stk11
ENSMUSG00000003070,530,Efna2
ENSMUSG00000003072,531,Atp5d
ENSMUSG00000003099,532,Ppp5c
ENSMUSG00000003119,533,Cdk12
ENSMUSG00000003123,534,Lipe
ENSMUSG00000003131,535,Pafah1b2
ENSMUSG00000003134,536,Tbc1d8
ENSMUSG00000003135,537,Cnot11
ENSMUSG00000003153,538,Slc2a3
ENSMUSG00000003154,539,Foxj2
ENSMUSG00000003161,540,Sri
ENSMUSG00000003166,541,Dgcr2
ENSMUSG00000003178,542,NA
ENSMUSG00000003184,543,Irf3
ENSMUSG00000003190,544,Bcl2l12
ENSMUSG00000003198,545,Zfp959
ENSMUSG00000003199,546,Mpnd
ENSMUSG00000003200,547,Sh3gl1
ENSMUSG00000003206,548,Ebi3
ENSMUSG00000003208,549,Ccdc94
ENSMUSG00000003226,550,Ranbp2
ENSMUSG00000003227,551,Edar
ENSMUSG00000003228,552,Grk5
ENSMUSG00000003233,553,Dvl3
ENSMUSG00000003234,554,Abcf3
ENSMUSG00000003235,555,Eif2b5
ENSMUSG00000003269,556,Cyth2
ENSMUSG00000003271,557,Sult2b1
ENSMUSG00000003273,558,Car11
ENSMUSG00000003279,559,Dlgap1
ENSMUSG00000003282,560,Plag1
ENSMUSG00000003283,561,Hck
ENSMUSG00000003299,562,Mrpl4
ENSMUSG00000003308,563,Keap1
ENSMUSG00000003309,564,Ap1m2
ENSMUSG00000003316,565,Glg1
ENSMUSG00000003341,566,Atp8b3
ENSMUSG00000003344,567,Btbd2
ENSMUSG00000003345,568,Csnk1g2
ENSMUSG00000003346,569,Abhd17a
ENSMUSG00000003348,570,Mob3a
ENSMUSG00000003352,571,Cacnb3
ENSMUSG00000003354,572,Ccdc65
ENSMUSG00000003355,573,Fkbp11
ENSMUSG00000003360,574,Ddx23
ENSMUSG00000003363,575,Pld3
ENSMUSG00000003378,576,Grik5
ENSMUSG00000003379,577,Cd79a
ENSMUSG00000003380,578,Rabac1
ENSMUSG00000003382,579,Etv3
ENSMUSG00000003402,580,Prkcsh
ENSMUSG00000003410,581,Elavl3
ENSMUSG00000003411,582,Rab3b
ENSMUSG00000003418,583,St8sia6
ENSMUSG00000003420,584,Fcgrt
ENSMUSG00000003421,585,Nosip
ENSMUSG00000003423,586,Pih1d1
ENSMUSG00000003429,587,Rps11
ENSMUSG00000003435,588,Supt5
ENSMUSG00000003436,589,Dll3
ENSMUSG00000003437,590,Paf1
ENSMUSG00000003438,591,Timm50
ENSMUSG00000003444,592,Med29
ENSMUSG00000003452,593,Bicd1
ENSMUSG00000003458,594,Ncstn
ENSMUSG00000003464,595,Pex19
ENSMUSG00000003469,596,Phyhip
ENSMUSG00000003476,597,Crhr2
ENSMUSG00000003477,598,Inmt
ENSMUSG00000003484,599,Cyp4f18
ENSMUSG00000003500,600,Impdh1
ENSMUSG00000003505,601,Psg18
ENSMUSG00000003518,602,Dusp3
ENSMUSG00000003526,603,Prodh
ENSMUSG00000003527,604,Dgcr14
ENSMUSG00000003528,605,Slc25a1
ENSMUSG00000003531,606,Dgcr6
ENSMUSG00000003534,607,Ddr1
ENSMUSG00000003541,608,Ier3
ENSMUSG00000003545,609,Fosb
ENSMUSG00000003546,610,Klc4
ENSMUSG00000003549,611,Ercc1
ENSMUSG00000003555,612,Cyp17a1
ENSMUSG00000003559,613,As3mt
ENSMUSG00000003573,614,Homer3
ENSMUSG00000003575,615,Crtc1
ENSMUSG00000003581,616,Rnf215
ENSMUSG00000003585,617,Sec14l2
ENSMUSG00000003604,618,Aven
ENSMUSG00000003617,619,Cp
ENSMUSG00000003623,620,Crot
ENSMUSG00000003644,621,Rps6ka1
ENSMUSG00000003657,622,Calb2
ENSMUSG00000003660,623,Snrnp200
ENSMUSG00000003662,624,Ciao1
ENSMUSG00000003665,625,Has1
ENSMUSG00000003680,626,Taf6l
ENSMUSG00000003721,627,Insig2
ENSMUSG00000003731,628,Kpna6
ENSMUSG00000003746,629,Man1a
ENSMUSG00000003752,630,Itpkc
ENSMUSG00000003762,631,Adck4
ENSMUSG00000003778,632,Brd8
ENSMUSG00000003779,633,Kif20a
ENSMUSG00000003808,634,Farsa
ENSMUSG00000003809,635,Gcdh
ENSMUSG00000003810,636,Mast2
ENSMUSG00000003812,637,Dnase2a
ENSMUSG00000003813,638,Rad23a
ENSMUSG00000003814,639,Calr
ENSMUSG00000003824,640,Syce2
ENSMUSG00000003847,641,Nfat5
ENSMUSG00000003848,642,Nob1
ENSMUSG00000003849,643,Nqo1
ENSMUSG00000003863,644,Ppfia3
ENSMUSG00000003865,645,Gys1
ENSMUSG00000003868,646,Ruvbl2
ENSMUSG00000003872,647,Lin7b
ENSMUSG00000003873,648,Bax
ENSMUSG00000003882,649,Il7r
ENSMUSG00000003923,650,Tfam
ENSMUSG00000003929,651,Zfp81
ENSMUSG00000003934,652,Efnb3
ENSMUSG00000003948,653,Mmd
ENSMUSG00000003949,654,Hlf
ENSMUSG00000003955,655,Fam162a
ENSMUSG00000003970,656,Rpl8
ENSMUSG00000003974,657,Grm3
ENSMUSG00000003992,658,Ssbp2
ENSMUSG00000004018,659,Fancl
ENSMUSG00000004031,660,Brinp2
ENSMUSG00000004032,661,Gstm5
ENSMUSG00000004035,662,Gstm7
ENSMUSG00000004038,663,Gstm3
ENSMUSG00000004040,664,Stat3
ENSMUSG00000004043,665,Stat5a
ENSMUSG00000004044,666,Ptrf
ENSMUSG00000004054,667,Map3k11
ENSMUSG00000004056,668,Akt2
ENSMUSG00000004069,669,Dnaja3
ENSMUSG00000004070,670,Hmox2
ENSMUSG00000004071,671,Cdip1
ENSMUSG00000004085,672,Zak
ENSMUSG00000004096,673,Cwc15
ENSMUSG00000004098,674,Col5a3
ENSMUSG00000004099,675,Dnmt1
ENSMUSG00000004100,676,Ppan
ENSMUSG00000004105,677,Angptl2
ENSMUSG00000004110,678,Cacna1e
ENSMUSG00000004113,679,Cacna1b
ENSMUSG00000004127,680,Trmt10a
ENSMUSG00000004151,681,Etv1
ENSMUSG00000004187,682,Kifc2
ENSMUSG00000004207,683,Psap
ENSMUSG00000004221,684,Ikbkg
ENSMUSG00000004231,685,Pax2
ENSMUSG00000004233,686,Wars2
ENSMUSG00000004263,687,Atn1
ENSMUSG00000004264,688,Phb2
ENSMUSG00000004266,689,Ptpn6
ENSMUSG00000004267,690,Eno2
ENSMUSG00000004268,691,Emg1
ENSMUSG00000004270,692,Lpcat3
ENSMUSG00000004285,693,Atp6v1f
ENSMUSG00000004296,694,Il12b
ENSMUSG00000004317,695,Clcn5
ENSMUSG00000004319,696,Clcn3
ENSMUSG00000004328,697,Hif3a
ENSMUSG00000004341,698,Gpx6
ENSMUSG00000004344,699,Gpx5
ENSMUSG00000004347,700,Pde1c
ENSMUSG00000004356,701,Utp20
ENSMUSG00000004359,702,Spic
